source_id,publisher,title,url,publication_date,language,source_type,confidence,notes
SRC-000001,TRAFFIC,International wildlife trafficker sentenced to 6 months in Malaysia,https://www.traffic.org/news/international-wildlife-trafficker-sentenced-to-6-months-in-malaysia/,2010-09-06,English,NGO / conservation enforcement reporting,High,
SRC-000002,South African Revenue Service,Sentencing of rhino horn smuggling kingpin,https://www.sars.gov.za/media-release/9-november-2012-sentencing-of-rhino-horn-smuggling-kingpin/,2012-11-09,English,Government,High,
SRC-000003,U.S. Department of Justice,Smuggling ring sentenced in Los Angeles for criminal trafficking of endangered rhinoceros horn,https://www.justice.gov/archives/opa/pr/smuggling-ring-sentenced-los-angeles-criminal-trafficking-endangered-rhinoceros-horn,2013-05-15,English,Official enforcement,High,
SRC-000004,U.S. Department of Justice,New York antiques dealer sentenced for wildlife smuggling,https://www.justice.gov/archives/opa/pr/new-york-antiques-dealer-sentenced-37-months-prison-wildlife-smuggling,2013-12-05,English,Official enforcement,High,
SRC-000005,U.S. Department of Justice,Ringleader of international rhino smuggling conspiracy sentenced to 70 months,https://www.justice.gov/usao-sdfl/pr/ringleader-international-rhino-smuggling-conspiracy-sentenced-new-jersey-70-months,2014-05-28,English,Official enforcement,High,
SRC-000006,U.S. Department of Justice,Antiques dealer sentenced for crimes relating to illegal rhinoceros horn trafficking,https://www.justice.gov/usao-sdny/pr/antiques-dealer-sentenced-manhattan-federal-court-six-months-prison-crimes-relating,2013-02-14,English,Official enforcement,High,
SRC-000007,U.S. Department of Justice,"Canadian antiques dealer sentenced for smuggling rhinoceros horns, elephant ivory and coral",https://www.justice.gov/archives/opa/pr/canadian-antiques-dealer-sentenced-30-months-prison-smuggling-rhinoceros-horns-elephant-ivory,2015-03-25,English,Official enforcement,High,
SRC-000008,U.S. Department of Justice,President of Florida auction house sentenced for wildlife smuggling conspiracy,https://www.justice.gov/usao-sdfl/pr/president-florida-auction-house-sentenced-36-months-wildlife-smuggling-conspiracy,2015-05-20,English,Official enforcement,High,
SRC-000009,U.S. Department of Justice,Texas antiques appraiser sentenced in rhino and ivory smuggling conspiracy,https://www.justice.gov/archives/opa/pr/texas-antiques-appraiser-sentenced-25-months-prison-rhino-and-ivory-smuggling-conspiracy,2015-05-14,English,Official enforcement,High,
SRC-000010,U.S. Department of Justice,Antiques dealer sentenced for smuggling cups made from rhinoceros horns,https://www.justice.gov/archives/opa/pr/antiques-dealer-sentenced-manhattan-two-years-prison-smuggling-cups-made-rhinoceros-horns,2015-11-13,English,Official enforcement,High,
SRC-000011,U.S. Department of Justice,Yiwei Zheng sentenced for smuggling elephant ivory and rhinoceros horns,https://www.justice.gov/usao-mn/pr/yiwei-zheng-sentenced-pay-500000-fine-smuggling-elephant-ivory-and-rhinoceros-horns,2016-05-09,English,Official enforcement,High,
SRC-000012,U.S. Department of Justice,Senior auction official sentenced to prison for wildlife smuggling,https://www.justice.gov/usao-sdny/pr/senior-auction-official-beverly-hills-auction-house-sentenced-prison-wildlife,2016-06-22,English,Official enforcement,High,
